nzsl_label,auslan_gloss,recommended_use,risk_level,notes
train,TRAIN,pretrain,low,Exact transport gloss
bus,VAN,pretrain,medium,Auslan keywords include bus and coach; useful auxiliary but not exact vehicle taxonomy
bicycle,BICYCLE,reference_only,high,NZSL/Auslan forms marked non-mutual by current data review; exclude from transfer pretraining
motorbike,MOTORCYCLE,pretrain,low,Keywords include motorbike
help,HELP,pretrain,low,Exact daily communication gloss
wait,WAIT,pretrain,low,Exact wait gloss
yes,NOD,pretrain,medium,Keywords include yes; auxiliary only
no,NO,pretrain,low,Exact no gloss
thank_you,THANK YOU,reference_only,high,NZSL/Auslan forms marked non-mutual by current data review; exclude from transfer pretraining
ticket,TICKET,pretrain,medium,Exact service gloss
boat,BOAT,pretrain,medium,Keywords include ferry but keep mapped only to boat
taxi,TAXI,pretrain,medium,Exact transport gloss but NZSL sample count is low
station,STATION,pretrain,high,Exact gloss; infrastructure terms may vary
platform,PLATFORM,reference_only,high,NZSL/Auslan forms marked non-mutual by current data review; exclude from transfer pretraining
stop,STOP,pretrain,high,Exact generic stop; NZSL label may include bus-stop semantics
path,FOOTPATH,pretrain,medium,Useful mobility-path auxiliary
