sample_id,label,bilingual_gloss,english,maori,source_id,source_url,license,signer_id,variant_id,recorded_date,local_relpath,verified_nzsl,verified_by,verification_notes,split_notes,remote_video_url
nzsl_online_boat_859_01,boat,boat / waka,Boat,Waka,nzsl_online,https://www.nzsl.nz/signs/859,CC BY-NC-SA 4.0,,859_01,,starter_nzsl/data/raw/boat/boat.859.main_glosses.mb.r480x360.mp4,true,codex_seed,"Official NZSL Online entry 'boat, sail'",batch_03_seed,https://nzsl-signbank-media-production.s3.amazonaws.com/glossvideo/859/boat.859.main_glosses.mb.r480x360.mp4
nzsl_online_boat_859_02,boat,boat / waka,Boat,Waka,nzsl_online,https://www.nzsl.nz/signs/859,CC BY-NC-SA 4.0,,859_02,,starter_nzsl/data/raw/boat/boat.859.finalexample1.mb.r480x360.mp4,true,codex_seed,"Official NZSL Online entry 'boat, sail'",batch_03_seed,https://nzsl-signbank-media-production.s3.amazonaws.com/glossvideo/859/boat.859.finalexample1.mb.r480x360.mp4
nzsl_online_boat_859_03,boat,boat / waka,Boat,Waka,nzsl_online,https://www.nzsl.nz/signs/859,CC BY-NC-SA 4.0,,859_03,,starter_nzsl/data/raw/boat/boat.859.finalexample2.mb.r480x360.mp4,true,codex_seed,"Official NZSL Online entry 'boat, sail'",batch_03_seed,https://nzsl-signbank-media-production.s3.amazonaws.com/glossvideo/859/boat.859.finalexample2.mb.r480x360.mp4
nzsl_online_bridge_5424_01,bridge,bridge / piriti,Bridge,Piriti,nzsl_online,https://www.nzsl.nz/signs/5424,CC BY-NC-SA 4.0,,5424_01,,starter_nzsl/data/raw/bridge/bridge.5424.main_glosses.vs.r480x360.mp4,true,codex_seed,Official NZSL Online entry 'bridge',batch_03_seed,https://nzsl-signbank-media-production.s3.amazonaws.com/glossvideo/5424/bridge.5424.main_glosses.vs.r480x360.mp4
nzsl_online_bridge_5424_02,bridge,bridge / piriti,Bridge,Piriti,nzsl_online,https://www.nzsl.nz/signs/5424,CC BY-NC-SA 4.0,,5424_02,,starter_nzsl/data/raw/bridge/bridge.5424.finalexample1.vs.r480x360.mp4,true,codex_seed,Official NZSL Online entry 'bridge',batch_03_seed,https://nzsl-signbank-media-production.s3.amazonaws.com/glossvideo/5424/bridge.5424.finalexample1.vs.r480x360.mp4
nzsl_online_bridge_4483_01,bridge,bridge / piriti,Bridge,Piriti,nzsl_online,https://www.nzsl.nz/signs/4483,CC BY-NC-SA 4.0,,4483_01,,starter_nzsl/data/raw/bridge/bridge.4483.main_glosses.vs.r480x360.mp4,true,codex_seed,Official NZSL Online entry 'bridge',batch_03_seed,https://nzsl-signbank-media-production.s3.amazonaws.com/glossvideo/4483/bridge.4483.main_glosses.vs.r480x360.mp4
nzsl_online_bridge_4483_02,bridge,bridge / piriti,Bridge,Piriti,nzsl_online,https://www.nzsl.nz/signs/4483,CC BY-NC-SA 4.0,,4483_02,,starter_nzsl/data/raw/bridge/bridge.4483.finalexample1.vs.r480x360.mp4,true,codex_seed,Official NZSL Online entry 'bridge',batch_03_seed,https://nzsl-signbank-media-production.s3.amazonaws.com/glossvideo/4483/bridge.4483.finalexample1.vs.r480x360.mp4
nzsl_online_path_2804_01,path,path / ara,Path,Ara,nzsl_online,https://www.nzsl.nz/signs/2804,CC BY-NC-SA 4.0,,2804_01,,starter_nzsl/data/raw/path/road.2804.main_glosses.vs.r480x360.mp4,true,codex_seed,"Official NZSL Online entry 'path, road'",batch_03_seed,https://nzsl-signbank-media-production.s3.amazonaws.com/glossvideo/2804/road.2804.main_glosses.vs.r480x360.mp4
nzsl_online_path_2804_02,path,path / ara,Path,Ara,nzsl_online,https://www.nzsl.nz/signs/2804,CC BY-NC-SA 4.0,,2804_02,,starter_nzsl/data/raw/path/road.2804.finalexample1.vs.r480x360.mp4,true,codex_seed,"Official NZSL Online entry 'path, road'",batch_03_seed,https://nzsl-signbank-media-production.s3.amazonaws.com/glossvideo/2804/road.2804.finalexample1.vs.r480x360.mp4
nzsl_online_path_2804_03,path,path / ara,Path,Ara,nzsl_online,https://www.nzsl.nz/signs/2804,CC BY-NC-SA 4.0,,2804_03,,starter_nzsl/data/raw/path/road.2804.finalexample2.vs.r480x360.mp4,true,codex_seed,"Official NZSL Online entry 'path, road'",batch_03_seed,https://nzsl-signbank-media-production.s3.amazonaws.com/glossvideo/2804/road.2804.finalexample2.vs.r480x360.mp4
