"label","bilingual_gloss","english","maori","source_id","source_url","sign_id","sign_title","candidate_status","candidate_rationale","video_count"
"arrive","arrive / tae mai","Arrive","Tae mai","nzsl_online","https://www.nzsl.nz/signs/1031","1031","arrive","seed","Exact match: arrive","2"
"bathroom","bathroom / wharepaku","Bathroom","Wharepaku","nzsl_online","https://www.nzsl.nz/signs/1439","1439","bathroom","seed","Exact match: bathroom","2"
"bathroom","bathroom / wharepaku","Bathroom","Wharepaku","nzsl_online","https://www.nzsl.nz/signs/1440","1440","bathroom scales","reject","Different concept: bathroom scales","2"
"bathroom","bathroom / wharepaku","Bathroom","Wharepaku","nzsl_online","https://www.nzsl.nz/signs/3480","3480","bath, bathe","reject","Different concept: bath, bathe","3"
"bathroom","bathroom / wharepaku","Bathroom","Wharepaku","nzsl_online","https://www.nzsl.nz/signs/6259","6259","bath, bathe","reject","Different concept: bath, bathe","3"
"bicycle","bicycle / paihikara","Bicycle","Paihikara","nzsl_online","https://www.nzsl.nz/signs/3521","3521","bicycle, ride a bicycle","seed","Exact match: bicycle, ride a bicycle","3"
"bicycle","bicycle / paihikara","Bicycle","Paihikara","nzsl_online","https://www.nzsl.nz/signs/7050","7050","bicycle, ride a bicycle","seed","Exact match: bicycle, ride a bicycle","3"
"boat","boat / waka","Boat","Waka","nzsl_online","https://www.nzsl.nz/signs/6295","6295","row","reject","Different action: row","2"
"boat","boat / waka","Boat","Waka","nzsl_online","https://www.nzsl.nz/signs/859","859","boat, sail","seed","Exact match available as broader gloss: boat, sail","3"
"bridge","bridge / piriti","Bridge","Piriti","nzsl_online","https://www.nzsl.nz/signs/4483","4483","bridge","seed","Exact match: bridge","2"
"bridge","bridge / piriti","Bridge","Piriti","nzsl_online","https://www.nzsl.nz/signs/5424","5424","bridge","seed","Exact match: bridge","2"
"bus","bus / pahi","Bus","Pahi","nzsl_online","https://www.nzsl.nz/signs/2823","2823","trolley bus","candidate","Subtype: trolley bus","2"
"bus","bus / pahi","Bus","Pahi","nzsl_online","https://www.nzsl.nz/signs/3587","3587","bus, truck","seed","Exact match: bus, truck","3"
"bus","bus / pahi","Bus","Pahi","nzsl_online","https://www.nzsl.nz/signs/4216","4216","shuttle bus, van","candidate","Subtype: shuttle bus, van","3"
"car","car / motoka","Car","Motoka","nzsl_online","https://www.nzsl.nz/signs/3386","3386","car body","reject","Different concept: car body","2"
"car","car / motoka","Car","Motoka","nzsl_online","https://www.nzsl.nz/signs/3462","3462","car, drive","seed","Exact match: car, drive","3"
"car","car / motoka","Car","Motoka","nzsl_online","https://www.nzsl.nz/signs/603","603","park (car)","reject","Different concept: park (car)","2"
