"sample_id","label","bilingual_gloss","english","maori","source_id","source_url","license","signer_id","variant_id","recorded_date","local_relpath","verified_nzsl","verified_by","verification_notes","split_notes","remote_video_url"
"nzsl_online_arrive_1031_01","arrive","arrive / tae mai","Arrive","Tae mai","nzsl_online","https://www.nzsl.nz/signs/1031","CC BY-NC-SA 4.0","","1031_01","","starter_nzsl/data/raw/arrive/arrive.1031.main_glosses.mb.r480x360.mp4","true","codex_seed","Official NZSL Online entry 'arrive'","batch_02_seed","https://nzsl-signbank-media-production.s3.amazonaws.com/glossvideo/1031/arrive.1031.main_glosses.mb.r480x360.mp4"
"nzsl_online_arrive_1031_02","arrive","arrive / tae mai","Arrive","Tae mai","nzsl_online","https://www.nzsl.nz/signs/1031","CC BY-NC-SA 4.0","","1031_02","","starter_nzsl/data/raw/arrive/arrive.1031.finalexample1.mb.r480x360.mp4","true","codex_seed","Official NZSL Online entry 'arrive'","batch_02_seed","https://nzsl-signbank-media-production.s3.amazonaws.com/glossvideo/1031/arrive.1031.finalexample1.mb.r480x360.mp4"
"nzsl_online_bathroom_1439_01","bathroom","bathroom / wharepaku","Bathroom","Wharepaku","nzsl_online","https://www.nzsl.nz/signs/1439","CC BY-NC-SA 4.0","","1439_01","","starter_nzsl/data/raw/bathroom/bathroom.1439.main_glosses.jo.r480x360.mp4","true","codex_seed","Official NZSL Online entry 'bathroom'","batch_02_seed","https://nzsl-signbank-media-production.s3.amazonaws.com/glossvideo/1439/bathroom.1439.main_glosses.jo.r480x360.mp4"
"nzsl_online_bathroom_1439_02","bathroom","bathroom / wharepaku","Bathroom","Wharepaku","nzsl_online","https://www.nzsl.nz/signs/1439","CC BY-NC-SA 4.0","","1439_02","","starter_nzsl/data/raw/bathroom/bathroom.1439.finalexample1.jo.r480x360.mp4","true","codex_seed","Official NZSL Online entry 'bathroom'","batch_02_seed","https://nzsl-signbank-media-production.s3.amazonaws.com/glossvideo/1439/bathroom.1439.finalexample1.jo.r480x360.mp4"
"nzsl_online_bicycle_3521_01","bicycle","bicycle / paihikara","Bicycle","Paihikara","nzsl_online","https://www.nzsl.nz/signs/3521","CC BY-NC-SA 4.0","","3521_01","","starter_nzsl/data/raw/bicycle/bicycle.3521.main_glosses.jo.r480x360.mp4","true","codex_seed","Official NZSL Online entry 'bicycle, ride a bicycle'","batch_01_seed","https://nzsl-signbank-media-production.s3.amazonaws.com/glossvideo/3521/bicycle.3521.main_glosses.jo.r480x360.mp4"
"nzsl_online_bicycle_3521_02","bicycle","bicycle / paihikara","Bicycle","Paihikara","nzsl_online","https://www.nzsl.nz/signs/3521","CC BY-NC-SA 4.0","","3521_02","","starter_nzsl/data/raw/bicycle/bicycle.3521.finalexample1.jo.r480x360.mp4","true","codex_seed","Official NZSL Online entry 'bicycle, ride a bicycle'","batch_01_seed","https://nzsl-signbank-media-production.s3.amazonaws.com/glossvideo/3521/bicycle.3521.finalexample1.jo.r480x360.mp4"
"nzsl_online_bicycle_3521_03","bicycle","bicycle / paihikara","Bicycle","Paihikara","nzsl_online","https://www.nzsl.nz/signs/3521","CC BY-NC-SA 4.0","","3521_03","","starter_nzsl/data/raw/bicycle/bicycle.3521.finalexample2.mb.r480x360.mp4","true","codex_seed","Official NZSL Online entry 'bicycle, ride a bicycle'","batch_01_seed","https://nzsl-signbank-media-production.s3.amazonaws.com/glossvideo/3521/bicycle.3521.finalexample2.mb.r480x360.mp4"
"nzsl_online_bicycle_7050_01","bicycle","bicycle / paihikara","Bicycle","Paihikara","nzsl_online","https://www.nzsl.nz/signs/7050","CC BY-NC-SA 4.0","","7050_01","","starter_nzsl/data/raw/bicycle/bicycle.7050.main_glosses.jb.r480x360.mp4","true","codex_seed","Official NZSL Online entry 'bicycle, ride a bicycle'","batch_01_seed","https://nzsl-signbank-media-production.s3.amazonaws.com/glossvideo/7050/bicycle.7050.main_glosses.jb.r480x360.mp4"
"nzsl_online_bicycle_7050_02","bicycle","bicycle / paihikara","Bicycle","Paihikara","nzsl_online","https://www.nzsl.nz/signs/7050","CC BY-NC-SA 4.0","","7050_02","","starter_nzsl/data/raw/bicycle/bicycle.7050.finalexample1.jb.r480x360.mp4","true","codex_seed","Official NZSL Online entry 'bicycle, ride a bicycle'","batch_01_seed","https://nzsl-signbank-media-production.s3.amazonaws.com/glossvideo/7050/bicycle.7050.finalexample1.jb.r480x360.mp4"
"nzsl_online_bicycle_7050_03","bicycle","bicycle / paihikara","Bicycle","Paihikara","nzsl_online","https://www.nzsl.nz/signs/7050","CC BY-NC-SA 4.0","","7050_03","","starter_nzsl/data/raw/bicycle/bicycle.7050.finalexample2.jb.r480x360.mp4","true","codex_seed","Official NZSL Online entry 'bicycle, ride a bicycle'","batch_01_seed","https://nzsl-signbank-media-production.s3.amazonaws.com/glossvideo/7050/bicycle.7050.finalexample2.jb.r480x360.mp4"
