model,fold,accuracy,macro_f1
svm,1,0.9310344827586207,0.9349836154183981
svm,2,0.9241379310344827,0.9196170978779675
svm,3,0.9310344827586207,0.9293851076459774
svm,4,0.8896551724137931,0.8988342321294267
svm,5,0.9172413793103448,0.920557703166399
svm,6,0.8896551724137931,0.8949943208255229
svm,7,0.9103448275862069,0.9089513214832909
rf,1,0.9241379310344827,0.9223760538977931
rf,2,0.9448275862068966,0.9403174546397054
rf,3,0.9586206896551724,0.9587334163421121
rf,4,0.9103448275862069,0.9097943545513879
rf,5,0.9172413793103448,0.920763266287563
rf,6,0.9103448275862069,0.9134247395116961
rf,7,0.9379310344827586,0.9370686077207817
